id_place,id_empleado,id_contrato,provincia,nombre,puesto,nacionalidad,fecha_in,fecha_out,fecha_end,jornada,motivo_baja,genero,fecha_nacimiento,email,nombre_contrato,work_place,supervisor,jefe,estado,edad,dias_empresa,años_empresa,tramo_empresa,tramo_edad,horas_contrato
169,1.0,189,GRANADA,Victoria Arnold,Designer graphic,ESPAÑA,2018-03-05,2023-09-17,2023-09-17,100.0,Otros,Mujer,1988-12-04,hillerika@example.net,INDEFINIDO,East Jenniferside,Ashley Galloway,Kelsey Richardson,Activo,35.0,1992,5.0,MÁS DE 3 AÑOS,MAYOR DE 35 AÑOS,CONTRATO DE 30 A 40 HORAS
15,2.0,100,VIZCAYA,Andrew Morris,Special effects artist,ESPAÑA,2016-06-21,2023-09-17,2023-09-17,100.0,Otros,Mujer,1991-01-16,chapmancindy@example.org,INDEFINIDO,Danielburgh,Sara Parks,Kelsey Richardson,Activo,33.0,2606,7.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
1,3.0,200,CACERES,Mary Campbell,Psychotherapist dance movement,ESPAÑA,2020-05-25,2023-09-17,2023-09-17,75.0,Otros,Mujer,1984-04-05,amberesparza@example.net,INDEFINIDO,Wesleyland,Todd Duarte,Catherine Walker MD,Activo,39.0,1192,3.0,MÁS DE 3 AÑOS,MAYOR DE 35 AÑOS,CONTRATO DE 30 A 40 HORAS
2,4.0,150,NAVARRA,George Wright,Ecologist,ESPAÑA,2016-06-27,2022-02-25,2023-09-17,90.0,Otros,Mujer,1971-06-15,brooke22@example.com,INDEFINIDO,South Rebecca,John Jones,Kelsey Richardson,Salida,52.0,2600,7.0,MÁS DE 3 AÑOS,MAYOR DE 35 AÑOS,CONTRATO DE 30 A 40 HORAS
1,5.0,501,MADRID,Todd Lamb,Holiday representative,ESPAÑA,2018-10-29,2017-12-31,2019-01-28,100.0,Otros,Mujer,1994-04-20,,CONTRATO TEMPORAL,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,29.0,89,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
2,6.0,250,NAVARRA,John Zimmerman,Holiday representative,CHILE,2016-06-28,2016-09-19,2023-09-17,57.5,Baja voluntaria del trabajador,Mujer,1994-06-27,zhaney@empresa.com,INDEFINIDO,South Rebecca,John Jones,Kelsey Richardson,Salida,29.0,2599,7.0,MÁS DE 3 AÑOS,ENTRE 25 Y 30 AÑOS,CONTRATO DE 20 A 30 HORAS
1,7.0,502,MADRID,Melanie Tran,Designer graphic,ESPAÑA,2019-02-15,2019-03-13,2019-08-14,95.0,Fin de contrato temporal,Mujer,1990-05-09,snyderlisa@empresa.net,CONTRATO TEMPORAL,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,33.0,179,0.0,HASTA 3 MESES,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
1,8.0,100,CACERES,Jennifer Dillon,Regulatory affairs officer,ESPAÑA,2020-06-23,2023-09-17,2023-09-17,75.0,Baja voluntaria del trabajador,Mujer,1990-01-03,osbornebrooke@example.com,INDEFINIDO,Wesleyland,Todd Duarte,Catherine Walker MD,Activo,34.0,1164,3.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
2,9.0,402,MADRID,David Benitez,Theatre manager,ESPAÑA,2019-03-26,2019-11-30,2020-01-31,90.0,Otros,Mujer,1993-04-22,debbiehill@example.com,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,30.0,305,1.0,DE 1 A 2 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
2,10.0,502,MADRID,Aaron Turner,Designer graphic,ESPAÑA,2019-03-26,2019-04-25,2019-09-25,95.0,Baja voluntaria del trabajador,Mujer,1993-06-30,katie95@empresa.net,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,30.0,179,0.0,HASTA 3 MESES,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
2,11.0,401,CACERES,Kelsey Garcia,Equities trader,ESPAÑA,2018-01-16,2020-12-31,2019-04-15,62.5,Fin de contrato temporal,Mujer,1994-07-11,jenniferturner@example.com,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,29.0,449,1.0,DE 1 A 2 AÑOS,ENTRE 25 Y 30 AÑOS,CONTRATO DE 20 A 30 HORAS
2,12.0,502,MADRID,Amanda Horn,Designer graphic,ESPAÑA,2019-03-29,2019-09-17,2019-09-28,95.0,Baja voluntaria del trabajador,Mujer,1998-01-29,pateltimothy@empresa.net,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,26.0,179,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
2,13.0,502,MADRID,Corey Aguilar,Designer graphic,ESPAÑA,2019-04-01,2019-11-29,2020-03-31,75.0,Baja voluntaria del trabajador,Mujer,1996-12-20,udawson@empresa.net,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,27.0,359,1.0,DE 1 A 2 AÑOS,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
3,14.0,100,MADRID,Paula Carlson,Radiographer therapeutic,ESPAÑA,2022-09-12,2023-09-17,2023-09-17,87.5,Baja voluntaria del trabajador,Hombre,1988-11-15,michaelcarter@example.com,INDEFINIDO,Aaronfurt,John Jones,Kelsey Richardson,Activo,35.0,365,1.0,DE 1 A 2 AÑOS,MAYOR DE 35 AÑOS,CONTRATO DE 30 A 40 HORAS
1,15.0,289,MADRID,Bonnie Wilkins,Designer graphic,ESPAÑA,2019-04-06,2020-12-31,2023-09-17,50.0,Baja voluntaria del trabajador,Mujer,1993-01-09,avance@empresa.org,INDEFINIDO,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,31.0,1601,4.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 15 A 20 HORAS
2,16.0,502,NAVARRA,Devin Watson,Holiday representative,ESPAÑA,2016-09-23,2017-09-22,2017-09-22,37.5,Otros,Mujer,1989-09-16,megan18@empresa.org,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,34.0,359,1.0,DE 1 A 2 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 15 A 20 HORAS
1,17.0,250,VIZCAYA,Joshua Andrews,Holiday representative,ESPAÑA,2016-11-07,2019-09-08,2023-09-17,90.0,Baja voluntaria del trabajador,Mujer,1992-12-08,elizabeth48@empresa.com,INDEFINIDO,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,31.0,2470,7.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
4,18.0,250,CANTABRIA,Robert Prince,Holiday representative,ESPAÑA,2016-11-11,2017-08-31,2023-09-17,50.0,Baja voluntaria del trabajador,Mujer,1993-08-11,julia76@empresa.org,INDEFINIDO,Lake Tracyhaven,John Jones,Kelsey Richardson,Salida,30.0,2466,7.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 15 A 20 HORAS
2,19.0,502,MADRID,Ashley Vasquez,Designer graphic,BRASIL,2019-04-29,2019-08-26,2019-10-28,95.0,Otros,Mujer,1996-06-25,duartetara@empresa.net,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,27.0,179,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
4,20.0,502,MADRID,Madison Padilla,Designer graphic,ESPAÑA,2021-04-09,2021-06-08,2021-07-08,50.0,Baja voluntaria del trabajador,Hombre,1998-01-29,paul64@example.org,CONTRATO TEMPORAL,Lake Tracyhaven,John Jones,Kelsey Richardson,Salida,26.0,89,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 15 A 20 HORAS
1,21.0,189,CACERES,Shirley Flores,Further education lecturer,ESPAÑA,2021-01-01,2023-09-17,2023-09-17,90.0,Fin de contrato temporal,Hombre,1994-12-16,shannondonald@example.net,INDEFINIDO,Wesleyland,Todd Duarte,Catherine Walker MD,Activo,29.0,975,3.0,MÁS DE 3 AÑOS,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
3,22.0,200,MADRID,Hailey Mcdonald,Holiday representative,ESPAÑA,2016-12-22,2017-02-05,2023-09-17,37.5,Fin de contrato temporal,Mujer,1997-09-04,zwoodard@empresa.org,INDEFINIDO,Aaronfurt,John Jones,Kelsey Richardson,Salida,26.0,2425,7.0,MÁS DE 3 AÑOS,ENTRE 25 Y 30 AÑOS,CONTRATO DE 15 A 20 HORAS
2,23.0,289,MADRID,Vanessa Mckinney,Designer graphic,VENEZUELA,2019-06-04,2023-09-17,2023-09-17,65.0,Otros,Mujer,1998-06-27,robert18@empresa.net,INDEFINIDO,South Rebecca,John Jones,Kelsey Richardson,Activo,25.0,1543,4.0,MÁS DE 3 AÑOS,ENTRE 25 Y 30 AÑOS,CONTRATO DE 20 A 30 HORAS
3,24.0,200,MADRID,Aaron Cox,Holiday representative,BRASIL,2016-12-22,2020-02-29,2023-09-17,90.0,Despido del trabajador,Mujer,1987-08-26,greenjay@empresa.org,INDEFINIDO,Aaronfurt,John Jones,Kelsey Richardson,Salida,36.0,2425,7.0,MÁS DE 3 AÑOS,MAYOR DE 35 AÑOS,CONTRATO DE 30 A 40 HORAS
3,25.0,200,MADRID,Kimberly Macdonald,Holiday representative,PARAGUAY,2018-10-02,2019-03-23,2023-09-17,50.0,Baja voluntaria del trabajador,Mujer,1993-07-18,ibarrera@example.com,INDEFINIDO,Aaronfurt,John Jones,Kelsey Richardson,Salida,30.0,1785,5.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 15 A 20 HORAS
3,26.0,100,MADRID,Maria Freeman,Newspaper journalist,REPÚBLICA FEDERAL DE ALEMANIA,2023-03-22,2023-09-17,2023-09-17,62.5,Otros,Hombre,1988-10-10,hammondkristina@example.net,INDEFINIDO,Aaronfurt,John Jones,Kelsey Richardson,Activo,35.0,175,0.0,HASTA 3 MESES,MAYOR DE 35 AÑOS,CONTRATO DE 20 A 30 HORAS
2,27.0,200,NAVARRA,William Strickland,Holiday representative,ESPAÑA,2017-04-25,2017-09-27,2023-09-17,50.0,Fin de contrato temporal,Mujer,1992-08-14,alyons@empresa.com,INDEFINIDO,South Rebecca,John Jones,Kelsey Richardson,Salida,31.0,2302,6.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 15 A 20 HORAS
1,28.0,502,MADRID,Joshua Watson,Designer graphic,ESPAÑA,2019-07-05,2019-09-09,2020-01-04,90.0,Baja voluntaria del trabajador,Mujer,1998-12-02,earlmcmillan@empresa.net,CONTRATO TEMPORAL,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,25.0,179,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
2,29.0,502,MADRID,Mr. Kyle Alvarez,Designer graphic,VENEZUELA,2019-08-16,2019-10-16,2020-01-30,90.0,Baja voluntaria del trabajador,Mujer,1989-10-24,susanwilkerson@empresa.org,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,34.0,164,0.0,HASTA 3 MESES,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
2,30.0,189,MADRID,Caitlin Middleton,Designer graphic,GUINEA ECUATORIAL,2019-08-20,2023-09-17,2023-09-17,97.5,Otros,Mujer,1986-05-04,dmiddleton@example.com,INDEFINIDO,South Rebecca,John Jones,Kelsey Richardson,Activo,37.0,1467,4.0,MÁS DE 3 AÑOS,MAYOR DE 35 AÑOS,CONTRATO DE 30 A 40 HORAS
1,31.0,502,MADRID,John Porter,Designer graphic,ESPAÑA,2019-08-28,2019-09-07,2020-02-27,90.0,Fin de contrato temporal,Mujer,1997-11-12,marshallgabrielle@empresa.org,CONTRATO TEMPORAL,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,26.0,179,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
6,32.0,200,VIZCAYA,Adrian Harper,Designer graphic,ESPAÑA,2017-06-01,2023-09-17,2023-09-17,90.0,Otros,Mujer,1989-04-05,oesparza@empresa.com,INDEFINIDO,Brownville,John Jones,Kelsey Richardson,Activo,34.0,2265,6.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
14,34.0,502,VIZCAYA,Kathleen Valenzuela,Designer graphic,ESPAÑA,2020-12-11,2021-01-09,2021-01-09,37.5,Otros,Mujer,1998-12-31,butlermary@empresa.net,CONTRATO TEMPORAL,,,,Salida,25.0,28,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 15 A 20 HORAS
15,35.0,200,VIZCAYA,Colin Doyle,Theatre manager,ESPAÑA,2019-02-01,2023-09-17,2023-09-17,100.0,Otros,Mujer,1992-08-13,markcook@example.org,INDEFINIDO,Danielburgh,Sara Parks,Kelsey Richardson,Activo,31.0,1665,5.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
4,36.0,502,MADRID,Tyler Cook,Pharmacist hospital,ESPAÑA,2021-09-27,2022-02-26,2022-02-26,75.0,Otros,Mujer,1997-12-05,youngjulie@example.org,CONTRATO TEMPORAL,Lake Tracyhaven,John Jones,Kelsey Richardson,Salida,26.0,149,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
1,37.0,200,VIZCAYA,Ronald Hernandez,Holiday representative,BOLIVIA,2017-06-19,2017-12-11,2023-09-17,37.5,Baja voluntaria del trabajador,Mujer,1989-09-21,jo22@empresa.net,INDEFINIDO,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,34.0,2248,6.0,MÁS DE 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 15 A 20 HORAS
2,38.0,502,MADRID,Brittney Richards,Designer graphic,VENEZUELA,2019-09-25,2019-11-20,2020-03-23,95.0,Baja voluntaria del trabajador,Mujer,1998-02-14,ruizdavid@empresa.net,CONTRATO TEMPORAL,South Rebecca,John Jones,Kelsey Richardson,Salida,26.0,178,0.0,HASTA 3 MESES,ENTRE 25 Y 30 AÑOS,CONTRATO DE 30 A 40 HORAS
1,39.0,200,VIZCAYA,William Monroe,Holiday representative,PERÚ,2017-07-10,2017-10-23,2017-10-23,50.0,Fin de contrato temporal,Mujer,1990-09-02,duane17@empresa.com,INDEFINIDO,Wesleyland,Todd Duarte,Catherine Walker MD,Salida,33.0,103,0.0,HASTA 3 MESES,ENTRE 30 Y 35 AÑOS,CONTRATO DE 15 A 20 HORAS
5,40.0,289,GRANADA,Heidi Taylor,Designer graphic,ITALIA,2021-11-16,2023-09-17,2023-09-17,75.0,Baja voluntaria del trabajador,Mujer,1993-02-23,lauren67@example.net,INDEFINIDO,,,,Activo,31.0,661,2.0,DE 2 A 3 AÑOS,ENTRE 30 Y 35 AÑOS,CONTRATO DE 30 A 40 HORAS
