id_place,provincia,id_empleado,nombre,puesto,nacionalidad,fecha_in,fecha_out,fecha_end,jornada,motivo_baja,genero,fecha_nacimiento,email,id_contrato
1,MADRID,2.0,Dr. Mathew Cole,Holiday representative,ESPAÑA,30/11/2017,31/12/2018,28/02/2019,,,Mujer,05/03/1995,,401.0
1,MADRID,3.0,Jaime Russell,Holiday representative,ESPAÑA,16/01/2018,31/12/2018,15/04/2019,,,Mujer,11/07/1994,,401.0
1,MADRID,4.0,Ronald Patel,Holiday representative,ESPAÑA,22/10/2018,31/12/2018,23/11/2018,,,Mujer,27/07/1989,,501.0
1,MADRID,5.0,Todd Lamb,Holiday representative,ESPAÑA,29/10/2018,31/12/2017,28/01/2019,,,Mujer,20/04/1994,,501.0
1,MADRID,50016.0,Nathan French,Holiday representative,ESPAÑA,23/01/2018,22/04/2018,22/04/2018,,,Mujer,26/01/1980,,401.0
1,MADRID,70009.0,Ryan Kidd,Holiday representative,ESPAÑA,26/06/2018,01/08/2018,04/09/2018,,,Mujer,27/03/1991,,401.0
1,MADRID,90050.0,Linda Moody MD,Holiday representative,ESPAÑA,16/06/2017,04/07/2017,15/09/2017,,,Mujer,17/04/1990,,401.0
1,MADRID,90070.0,Dennis Dunn,Holiday representative,ESPAÑA,14/08/2017,31/08/2018,00/00/0000,,Despido del trabajador,Mujer,28/09/1990,,189.0
1,MADRID,90073.0,Jonathan Morgan,Educational psychologist,ESPAÑA,29/11/2017,00/00/0000,00/00/0000,97.5,Suspensión del contrato o ER,Mujer,26/08/1990,mark99@examplecom,289.0
1,MADRID,90078.0,Toni Martinez,Holiday representative,ESPAÑA,21/02/2018,31/08/2018,20/08/2018,,Cese por expiración del tiem,Mujer,23/04/1988,,402.0
1,MADRID,90085.0,Rebecca Clark MD,Educational psychologist,VENEZUELA,20/10/2017,31/07/2020,00/00/0000,77.5,Baja voluntaria de la person,Mujer,12/11/1993,suzanneburton@example.com,289.0
1,MADRID,90088.0,Cynthia Green,Holiday representative,ESPAÑA,22/12/2017,11/08/2018,11/08/2018,,,Mujer,29/09/1997,,401.0
1,MADRID,90096.0,Traci Gonzalez,Holiday representative,ESPAÑA,18/11/2017,31/07/2018,00/00/0000,,,Mujer,11/01/1994,,289.0
1,MADRID,90098.0,Dylan Wilson Jr.,Holiday representative,ESPAÑA,21/08/2017,12/11/2018,00/00/0000,,,Mujer,03/07/1994,,189.0
1,MADRID,90121.0,Ryan Rivas,Holiday representative,ESPAÑA,28/10/2017,31/08/2018,00/00/0000,,,Mujer,18/05/1989,,189.0
1,MADRID,90159.0,Megan Ponce,Holiday representative,ESPAÑA,25/06/2018,16/07/2018,24/12/2018,,,Mujer,06/10/1997,,502.0
1,MADRID,90248.0,Stacey Davis,Holiday representative,ESPAÑA,06/07/2016,10/01/2018,00/00/0000,,,Mujer,08/01/1994,,189.0
1,MADRID,220022.0,Matthew Vazquez,Holiday representative,ESPAÑA,20/12/2017,10/01/2018,10/01/2018,,,Mujer,24/11/1992,,401.0
1,MADRID,390046.0,Patricia Knox,Theatre manager,ESPAÑA,16/12/2016,10/10/2019,10/10/2019,90.0,Fin de contrato temporal,Mujer,25/01/1996,,501.0
1,MADRID,390160.0,Joseph Howard,Special effects artist,ESPAÑA,24/09/2018,19/11/2018,23/03/2019,,,Mujer,15/06/1991,,402.0
1,MADRID,390172.0,Glen Massey,Holiday representative,ESPAÑA,26/04/2018,25/10/2018,25/10/2018,,Cese por expiración del tiem,Mujer,27/09/1995,,402.0
1,MADRID,390196.0,Donna Moss,Holiday representative,ESPAÑA,30/07/2018,02/09/2018,29/01/2019,,,Mujer,16/07/1999,,502.0
1,MADRID,390205.0,Samuel Brady,Holiday representative,ESPAÑA,06/08/2018,18/08/2018,05/02/2019,,,Mujer,25/11/1995,,502.0
1,MADRID,390253.0,Nicholas Morris,Holiday representative,ESPAÑA,03/08/2017,15/07/2018,00/00/0000,,,Mujer,13/10/1991,,189.0
1,MADRID,390294.0,Jessica Johnson,Holiday representative,ESPAÑA,07/09/2017,06/03/2018,06/03/2018,,,Mujer,01/01/1989,,401.0
1,MADRID,390322.0,Jeffrey Thornton,Holiday representative,ESPAÑA,02/08/2017,17/01/2018,01/02/2018,,,Mujer,27/02/1991,,501.0
1,MADRID,90248.0,Stacey Davis,Holiday representative,ESPAÑA,06/07/2016,10/01/2018,00/00/0000,,,Mujer,08/01/1994,,189.0
1,MADRID,390392.0,Steven Wilson,Holiday representative,ESPAÑA,08/09/2017,03/10/2017,07/12/2017,,,Mujer,17/06/1992,,401.0
1,MADRID,390465.0,Kristen Sharp,Holiday representative,ESPAÑA,13/02/2017,20/04/2017,12/05/2017,,,Mujer,31/03/1986,,502.0
1,MADRID,600002.0,Juan Johnston,Holiday representative,ESPAÑA,03/06/2015,02/06/2017,02/06/2017,,,Hombre,16/08/1989,,421.0
1,MADRID,650003.0,Karen Simpson,Holiday representative,ESPAÑA,15/06/2015,01/05/2017,14/06/2017,,,Mujer,22/04/1991,,421.0
1,MADRID,940028.0,Madison Wade,Holiday representative,ESPAÑA,03/09/2018,05/09/2018,02/12/2018,,,Mujer,22/08/2018,,501.0
